GFA_sqm,Building_Type,Num_Floors,Year_Built,Structure_Type,Actual_Scope3_tCO2e,Intensity_kgCO2e_m2,City,Country,Latitude,Longitude
19888,Office,24,2014,Steel,13942.299414691503,701.0407992101519,Rome,Italy,41.874403617158556,12.5552825921484
24190,Healthcare,32,2016,Mixed,14594.041539917487,603.3088689507023,Stockholm,Sweden,59.350908574816934,17.930937160650778
45912,Office,20,2004,Concrete,24229.592874527865,527.7398691960242,Berlin,Germany,52.47784033574683,13.30325129544409
25466,Office,12,1988,Timber,6670.218784350257,261.92644248606996,Rome,Italy,41.914687577624655,12.52636744243396
38259,Office,25,2000,Mixed,19794.76591653051,517.3884815737606,Dublin,Ireland,53.31134646020174,-6.113814178862541
12174,Residential,14,2010,Concrete,6256.452001666828,513.9191721428313,Stockholm,Sweden,59.309183154033,18.111749445163607
7731,Education,9,1989,Concrete,3917.3254409023034,506.70358826830983,Amsterdam,Netherlands,52.308410680611495,4.940193826291824
28569,Residential,27,1981,Steel,19621.9229979321,686.8256851108579,Amsterdam,Netherlands,52.39866395785012,4.874854159151224
18749,Office,17,1986,Steel,12124.413389448355,646.6698698303031,Rome,Italy,41.87525191710618,12.416700143339733
39069,Office,39,2006,Concrete,27247.490871793343,697.4197156772209,Stockholm,Sweden,59.28689036889766,17.97610465216194
10435,Residential,20,2007,Mixed,4336.549774660719,415.57736220993945,Dublin,Ireland,53.37442116569433,-6.163792114580618
1504,Healthcare,25,2012,Concrete,1024.5463745216039,681.2143447617048,Lisbon,Portugal,38.70121544746898,-9.006024234658472
38678,Office,21,1995,Concrete,23289.3933746291,602.1354096548192,Madrid,Spain,40.35059803359785,-3.6609177753786706
49529,Office,14,1994,Timber,13610.151608691485,274.79156875146856,Amsterdam,Netherlands,52.35843143119231,4.980231602098198
8114,Office,12,1989,Mixed,3032.5656286452954,373.744839616132,Amsterdam,Netherlands,52.34556567527857,4.924026519560307
10337,Healthcare,28,2015,Concrete,7155.052288398949,692.1788031729659,Paris,France,48.853187584992845,2.3081035285615807
21159,Healthcare,27,1996,Steel,16730.132270545597,790.6863401174724,Rome,Italy,41.92055637640466,12.454191528503026
35349,Office,35,1985,Concrete,21724.784256499686,614.5798822173099,Madrid,Spain,40.422683039187156,-3.7163513927418763
24793,Healthcare,5,2012,Concrete,15009.758555228434,605.403079709129,London,United Kingdom,51.51302169098138,0.02470480998325042
21309,Office,27,1992,Steel,14505.269908263732,680.710962891911,Berlin,Germany,52.426770423760125,13.3041015894481
30189,Education,28,1996,Steel,22912.274803759232,758.961038913486,Amsterdam,Netherlands,52.391316575225765,4.917029906465094
11916,Office,10,1989,Timber,2602.1923990971095,218.3780126801871,Dublin,Ireland,53.31291594151514,-6.109189794548255
22949,Office,1,2019,Mixed,7408.61761979319,322.8296492131766,Oslo,Norway,59.80443694840606,10.749449555993769
44125,Residential,3,1991,Steel,25189.438986484434,570.8654727815169,Madrid,Spain,40.31768164467313,-3.6416364321060737
20198,Office,23,1994,Steel,13754.86163832556,681.0011703300108,Paris,France,48.96100893350387,2.470945317602988
14051,Healthcare,34,2017,Concrete,10641.942892597575,757.3797518039695,Berlin,Germany,52.58083173889875,13.40447664010699
32703,Residential,15,2009,Timber,8378.630126858463,256.20371607676555,London,United Kingdom,51.684856187097296,-0.3970485633496734
20856,Healthcare,10,1996,Mixed,9142.408085191537,438.35865387377913,Madrid,Spain,40.4960065150571,-3.701476381201426
40037,Office,11,2002,Timber,9568.202687442657,238.98400697961026,Amsterdam,Netherlands,52.36976675736969,4.836013454469859
43679,Healthcare,25,1982,Mixed,24767.37443529479,567.0316269899675,Paris,France,48.92038707910819,2.2671547197718964
22508,Office,18,2007,Concrete,11369.17641385091,505.11713230188866,Madrid,Spain,40.40974306184148,-3.6931152992534955
19777,Healthcare,34,1993,Concrete,15274.38525263948,772.3307505000496,Dublin,Ireland,53.30922905862287,-6.203770921188741
11478,Residential,30,2022,Timber,3694.7782283972024,321.90087370597684,London,United Kingdom,51.48306329444416,0.06434089585514291
15178,Office,15,2001,Concrete,8156.911446840118,537.4167510106811,Stockholm,Sweden,59.30625315079471,18.11615481841744
5621,Residential,7,1982,Timber,1291.7673438975662,229.81094892324606,Paris,France,48.88948247336469,2.359785179936507
47271,Education,25,2016,Mixed,20298.487131064336,429.406763788884,Dublin,Ireland,53.38407099858779,-6.282159134257588
48915,Residential,25,1996,Steel,33635.66510685551,687.6349812297966,Rome,Italy,41.87102086065586,12.529764568058315
27734,Residential,36,2001,Concrete,17674.19942448755,637.2755255097552,Oslo,Norway,59.88633190924593,10.638274090838669
20123,Office,26,2013,Timber,6058.592533745026,301.0779970056665,Amsterdam,Netherlands,52.360577481935685,4.847445358347199
27900,Residential,6,1985,Timber,5844.715524587679,209.488011633967,Oslo,Norway,59.979353084925286,10.624070123698493
36358,Education,37,2015,Mixed,17942.24261333779,493.48816253198163,Paris,France,48.915199683561134,2.4752186839256596
42605,Education,30,2017,Timber,14961.890002204109,351.1768572281213,Paris,France,48.91135257860279,2.37148380684097
23700,Education,5,1985,Concrete,10860.513800764154,458.2495274584032,Berlin,Germany,52.439901385467664,13.520874155109546
3048,Healthcare,26,1993,Mixed,1610.7333658432506,528.4558286887305,Rome,Italy,41.8641284384319,12.518776619511579
46745,Residential,10,1984,Timber,10856.545465695872,232.25041107489295,Paris,France,48.86447076899494,2.4429623337563906
2342,Office,37,1988,Steel,1589.4084207863132,678.6543214288272,Oslo,Norway,59.92122037621117,10.838286834989939
41752,Education,5,2023,Concrete,18341.997479122005,439.3082362311268,Oslo,Norway,59.99818589529148,10.66150054301597
6415,Education,22,2008,Mixed,3144.4441527944123,490.1705616203293,Madrid,Spain,40.340325464009545,-3.767268811426859
16524,Office,5,1998,Timber,3478.0392867834007,210.4841011125273,Rome,Italy,41.8632393164593,12.517661335159012
44303,Residential,8,2018,Mixed,16852.934986431308,380.40166549514277,Berlin,Germany,52.52482030883637,13.46193431857439
19574,Education,33,2004,Steel,15113.851995710527,772.1391639782634,Stockholm,Sweden,59.30637149593763,17.919985733717244
5018,Healthcare,39,1985,Concrete,3754.065576202129,748.1198836592525,Berlin,Germany,52.466981122931415,13.341781621799017
6788,Education,33,2009,Timber,2376.1218095683817,350.04740859875983,Amsterdam,Netherlands,52.37524031200388,4.9413960922486915
18334,Education,33,1983,Concrete,11758.142058668995,641.3298821135047,Madrid,Spain,40.47535312735235,-3.7315836502568183
24710,Residential,36,2024,Mixed,13368.592696004649,541.0195344396864,Oslo,Norway,59.829983485469754,10.668775418569792
4756,Healthcare,2,2006,Timber,1105.7176230041018,232.48898717495834,Rome,Italy,41.90854488866952,12.450359811781391
6779,Office,11,1989,Mixed,2791.2853511142825,411.7547353760558,Oslo,Norway,59.88471937248409,10.686378884942718
3443,Education,26,1992,Mixed,1654.5863732543248,480.5653131729087,Dublin,Ireland,53.325601553185365,-6.154780882787519
20915,Education,36,1983,Steel,16558.08988536918,791.6849096518852,Oslo,Norway,59.930273442197645,10.831374000555922
45409,Education,9,2008,Concrete,24430.14800559097,538.0023344621325,Amsterdam,Netherlands,52.39106861982557,4.824562156369146
37244,Office,26,2015,Concrete,23059.582805690625,619.1489315242891,London,United Kingdom,51.66096890861864,-0.13681336001174954
3708,Healthcare,9,1988,Concrete,2335.962093783289,629.9789896934437,Madrid,Spain,40.42074430634602,-3.777146539988862
35393,Healthcare,11,2017,Concrete,21301.024160822646,601.8428548250401,Paris,France,48.98369094498786,2.37612046724097
5971,Education,24,2004,Timber,1671.4668011017461,279.93079904567844,Madrid,Spain,40.48296918021362,-3.727521220176673
5757,Education,26,2007,Concrete,3448.2722194812236,598.9703351539384,Stockholm,Sweden,59.39510826313655,18.037696696405103
25917,Healthcare,28,2019,Steel,20599.170671813696,794.8130829885287,Stockholm,Sweden,59.285357781067354,18.13993460662228
3079,Residential,30,2008,Steel,1955.5250998226,635.1169534987333,Oslo,Norway,59.917490720846814,10.68821340376629
49302,Education,2,2007,Steel,27061.15108785484,548.8854628180366,Amsterdam,Netherlands,52.37653562810662,4.820596295866263
13342,Healthcare,39,1982,Mixed,8328.304316014714,624.2170825974151,Berlin,Germany,52.528799908647805,13.422620251329429
17438,Education,28,2011,Concrete,11043.577188075551,633.3052636813597,Oslo,Norway,59.805419198500694,10.666591648579885
31678,Healthcare,8,2016,Timber,9011.057783115315,284.457913476713,Oslo,Norway,59.819888278551865,10.672951657299835
10503,Residential,16,1983,Mixed,4668.114244288528,444.45532174507554,Madrid,Spain,40.3812784616547,-3.73520198777864
7150,Residential,10,1986,Steel,4039.3664069152915,564.9463506175233,Berlin,Germany,52.42455537793254,13.562933222762588
32419,Office,18,1981,Steel,22065.43396198381,680.6327759025205,Rome,Italy,41.86717317142997,12.565021466284533
38334,Education,12,1999,Steel,22659.74267318922,591.1134416755157,Dublin,Ireland,53.34361265291353,-6.241106848091616
44861,Healthcare,24,1996,Concrete,31088.594116930162,692.9982416114256,Stockholm,Sweden,59.35997105118946,18.027564051340768
28856,Education,14,1988,Mixed,12601.50325886013,436.703051665516,Dublin,Ireland,53.32578876854332,-6.272128785185435
42401,Education,29,2024,Concrete,24079.721751257985,567.904571855805,Amsterdam,Netherlands,52.39142988065605,4.823550216578028
32653,Healthcare,34,1996,Steel,29066.572213779476,890.1654431072022,Lisbon,Portugal,38.77202025816323,-9.178684253974264
41760,Residential,31,1985,Timber,14262.15406682435,341.5266778454107,Dublin,Ireland,53.349427385013826,-6.185341124364119
36737,Office,21,2007,Concrete,20466.177751026295,557.099865286395,Paris,France,48.833256673751215,2.421410084927911
22172,Education,36,2005,Steel,15827.19750376265,713.8371596501286,Oslo,Norway,59.88743867927145,10.874654103187574
12046,Education,35,2013,Timber,4416.312382915052,366.6206527407481,Amsterdam,Netherlands,52.31350012774212,4.896750988386483
41483,Residential,20,1998,Timber,12408.629794323924,299.12566097736243,London,United Kingdom,51.54890987416037,-0.08221000575817755
48304,Residential,26,1981,Steel,31824.42320380239,658.8361875580157,Oslo,Norway,59.94563775124072,10.748647394861859
19023,Education,25,2018,Timber,6172.302286736095,324.4652413781262,Madrid,Spain,40.300467878125154,-3.6064601223585826
24393,Residential,12,1998,Steel,13664.300304788105,560.1730129458495,London,United Kingdom,51.44104558927569,0.16516614767456161
21491,Education,16,2003,Timber,5847.1787417590485,272.07569409329716,Madrid,Spain,40.45180716910777,-3.655179334145372
6319,Healthcare,25,1997,Steel,5268.52765107202,833.7597168969804,Lisbon,Portugal,38.70515958066587,-9.066016507089993
38641,Healthcare,16,1986,Steel,27346.351320953072,707.7029921832528,Madrid,Spain,40.394642023616264,-3.7374290286988825
9820,Education,7,1988,Timber,2290.5055374596936,233.24903640119084,Paris,France,48.8843525319461,2.438602551387729
26510,Education,35,1997,Timber,10030.137994601146,378.3529986646981,London,United Kingdom,51.59505020513297,-0.2447119253798859
31907,Healthcare,34,1982,Steel,27734.51570463045,869.2298149193108,Lisbon,Portugal,38.77247667715287,-9.186928731840212
29535,Education,4,2008,Concrete,13378.254386365277,452.9627352756146,Paris,France,48.90403362197574,2.3280451169964596
16229,Healthcare,2,2014,Concrete,9836.943508834296,606.1336809929322,Stockholm,Sweden,59.23709458191534,18.015189166975915
4810,Healthcare,39,2008,Concrete,3416.574361021973,710.3065199629881,Madrid,Spain,40.3959562653713,-3.6838485585545344
11616,Healthcare,10,2009,Steel,8089.816220327658,696.4373467912928,Rome,Italy,41.94751646031778,12.447755429153661
45460,Education,14,2009,Concrete,22676.17738421665,498.816044527423,Madrid,Spain,40.30841863792727,-3.796425213053317
48054,Residential,9,1994,Steel,27972.424978049625,582.1039867243023,Rome,Italy,41.84365077757301,12.589992236790044
46028,Office,6,2018,Mixed,18834.617202973197,409.19912233799425,Oslo,Norway,59.89348030224997,10.784023416763212
25262,Office,4,1987,Mixed,9978.467375629676,394.9991044109602,Amsterdam,Netherlands,52.360773679487885,4.902537702203301
41042,Residential,34,2005,Steel,27697.07507830913,674.8471097487727,Berlin,Germany,52.56524113915879,13.540230906138962
8214,Residential,23,1988,Timber,2470.2715446256266,300.73917027339013,London,United Kingdom,51.45216857476584,-0.2226305867681389
26425,Residential,17,2003,Timber,7444.957187377488,281.7391556245028,Amsterdam,Netherlands,52.36229373829351,4.949574320818446
38443,Office,14,2016,Concrete,19820.170462010323,515.5729381684656,Oslo,Norway,59.85312000851774,10.638854476384841
18602,Office,25,2013,Mixed,8014.953055245569,430.8651249997618,Oslo,Norway,59.986317897663795,10.820563796357035
26559,Residential,15,2017,Mixed,11729.402951822703,441.63571489222875,Lisbon,Portugal,38.75326025194008,-9.00757560548159
4020,Healthcare,28,1984,Steel,3562.3626571652344,886.1598649664762,Oslo,Norway,59.97658125382749,10.754823706133084
20129,Education,3,2019,Concrete,9441.938984434408,469.07143844375815,London,United Kingdom,51.66358899590655,0.058198215124849684
3139,Healthcare,33,2020,Steel,2874.7950381550804,915.8314871472062,Dublin,Ireland,53.39300903505097,-6.278833181234283
3469,Education,7,1984,Timber,814.6480175926782,234.83655739195106,Dublin,Ireland,53.30292472830345,-6.134836649887047
3719,Residential,30,2018,Timber,1104.8179358432387,297.07392735768724,Paris,France,48.96642683559155,2.352240320128251
11177,Education,32,1992,Concrete,6581.295866318433,588.8248963334019,Dublin,Ireland,53.363181352701666,-6.248039283787167
38311,Healthcare,24,2024,Timber,12767.075916398515,333.2483077027098,Berlin,Germany,52.552205580500406,13.462379973602832
14281,Healthcare,28,1994,Concrete,10623.975143749087,743.9237549015536,Amsterdam,Netherlands,52.39372284872364,4.937577144460162
8491,Residential,27,1996,Mixed,3761.7932738359204,443.0330083424709,Lisbon,Portugal,38.74735738884351,-9.18841590788824
3353,Healthcare,14,2008,Mixed,1774.28992525687,529.1649046396868,Berlin,Germany,52.51887917184571,13.415083678121686
45064,Office,6,1994,Mixed,18050.42863058287,400.5509637533923,Lisbon,Portugal,38.70010294798457,-9.168212343344647
37124,Residential,4,1996,Timber,7352.611675648595,198.05548097318703,Stockholm,Sweden,59.305404819242376,18.147776229739968
24411,Education,32,1981,Timber,8599.359455480317,352.2739525410805,Amsterdam,Netherlands,52.31313351264094,4.973610864506458
48851,Residential,28,2008,Steel,36467.97410003503,746.5143825107989,Madrid,Spain,40.427705189532816,-3.7204811204074413
33196,Office,3,1980,Concrete,16652.81409637593,501.6512259421595,Paris,France,48.84262094080501,2.2093402248653535
18175,Office,12,1997,Timber,4337.164918193433,238.63355808492062,Oslo,Norway,59.83184914765585,10.661110374782883
4380,Office,8,1994,Timber,1030.0466237226867,235.1704620371431,Rome,Italy,41.80357237849566,12.559359565572805
42652,Healthcare,24,1982,Mixed,25482.41208271595,597.4494064221127,Dublin,Ireland,53.30012318351664,-6.180334546975514
14547,Residential,20,2015,Steel,8889.209315910273,611.0682144710438,Dublin,Ireland,53.316082546907815,-6.169696106639547
36201,Office,24,1987,Timber,11912.340317963552,329.06108444417424,London,United Kingdom,51.40348616197243,-0.4492871785438088
30009,Healthcare,31,2017,Mixed,18756.418544096327,625.0264435368166,Dublin,Ireland,53.386012239718916,-6.14402980222133
33981,Healthcare,24,2020,Steel,25150.324182488093,740.1290186424206,Amsterdam,Netherlands,52.36181557343181,4.940492994108821
10127,Residential,32,2012,Concrete,6219.776040030663,614.1775491291264,Dublin,Ireland,53.33506269312092,-6.2933593782417265
44201,Healthcare,38,2018,Concrete,35232.69751308846,797.101819259484,Paris,France,48.96428814560197,2.2123550485837815
7090,Healthcare,3,1985,Steel,5226.39619838767,737.1503805906444,Stockholm,Sweden,59.322588834973125,17.989650765901192
37679,Healthcare,28,1999,Concrete,27275.667240842286,723.895730800772,Stockholm,Sweden,59.33216402365985,18.065900435777586
28961,Residential,22,2005,Timber,8639.86291057402,298.32750632139846,Dublin,Ireland,53.31639994809895,-6.212278556702092
16349,Residential,12,2002,Mixed,6246.669469963983,382.08266376928145,Berlin,Germany,52.44384279747161,13.592759576745738
5780,Healthcare,8,2008,Timber,1505.6726694381468,260.49700163289737,Berlin,Germany,52.432334508829356,13.306258341787462
1661,Education,37,2011,Mixed,973.0185643288613,585.8028683497058,Berlin,Germany,52.41630529791048,13.42097840833715
40004,Office,15,2012,Timber,10124.763206831381,253.09377079370515,Madrid,Spain,40.44543381395326,-3.6514586957600037
48908,Healthcare,4,2007,Mixed,22877.88498468023,467.77388126033014,Oslo,Norway,59.908660104672656,10.754198760342618
7563,Office,34,2015,Concrete,4780.706332179733,632.1177220917273,Rome,Italy,41.88434418537469,12.45536555944701
46241,Education,12,1982,Steel,28014.14630114965,605.8291624564704,Madrid,Spain,40.44662260448305,-3.7736864629745477
27723,Healthcare,30,2002,Concrete,18912.803557948515,682.2062387890385,Paris,France,48.836195390541896,2.4563155280108737
5648,Office,14,2018,Steel,3615.652137996035,640.1650385970318,Stockholm,Sweden,59.232704774517,18.01732446099553
3113,Office,35,2016,Steel,2178.0184171400642,699.6525593125808,Oslo,Norway,59.91974279602002,10.718997932903068
37142,Education,31,1990,Concrete,20554.12675890909,553.3931064269315,Lisbon,Portugal,38.74487775738314,-9.066121919708127
43240,Office,5,1999,Mixed,16594.901191556874,383.7858739953023,London,United Kingdom,51.475758334622626,-0.24852447645862813
20576,Healthcare,37,2016,Mixed,13142.767829086577,638.7426044462761,London,United Kingdom,51.61161567823366,-0.18754194744119013
2742,Education,6,2023,Timber,531.12711104832,193.70062401470457,Paris,France,48.99733859607143,2.236891242558888
26619,Office,26,2008,Steel,16732.888356940475,628.6069483053636,Amsterdam,Netherlands,52.31800104374727,4.817711116844648
10200,Office,14,1991,Concrete,5195.139630963037,509.32741480029773,Paris,France,48.99302373928721,2.201481994280323
46272,Residential,29,2018,Timber,14299.186184466093,309.02459769333706,Paris,France,48.86853069762418,2.35967349664789
23911,Education,16,2021,Mixed,10638.367090537962,444.91518926594296,Paris,France,48.83766981675312,2.419248842461263
41287,Office,38,1984,Timber,14289.805768411654,346.1090844191066,Paris,France,48.93232647007423,2.493589386220159
23473,Education,30,1997,Steel,17518.43524373094,746.3228067878388,Oslo,Norway,59.95370387290476,10.633932945722972
31659,Office,33,1980,Timber,11885.43443053517,375.4203995873265,Madrid,Spain,40.43339430339818,-3.68456295265765
37059,Residential,2,1985,Timber,7713.186727536196,208.13261900041005,Dublin,Ireland,53.39933369373586,-6.149514447476885
20614,Office,11,1983,Concrete,10210.488807641954,495.31817248675435,Rome,Italy,41.933518677112716,12.561569188388251
32116,Residential,23,1998,Steel,22714.745970328036,707.2719507512778,Oslo,Norway,59.85937385491206,10.794722397638319
4726,Office,1,1991,Concrete,2105.677404789626,445.5517149364423,Madrid,Spain,40.376083940846556,-3.6903000556697045
46360,Office,32,2014,Mixed,21348.59640599581,460.4960398187189,Berlin,Germany,52.433688877028544,13.492772790684157
36757,Residential,9,1982,Steel,23459.66653992008,638.2367042990472,Paris,France,48.895836375525946,2.207692619741931
5760,Residential,12,1984,Concrete,2953.242013371459,512.7156273214339,Rome,Italy,41.92158101855869,12.552976652308425
17173,Residential,21,2002,Timber,4412.277503363979,256.9310838737541,Madrid,Spain,40.47960610979,-3.75130354068474
37914,Education,15,1983,Steel,23597.594120140584,622.39790368045,Berlin,Germany,52.42028416568984,13.445761527755899
29211,Healthcare,27,2008,Timber,11112.999893743612,380.43887212843146,Oslo,Norway,59.8622615398312,10.783100134993276
13289,Residential,13,1983,Concrete,6326.285162318534,476.05426761370563,Stockholm,Sweden,59.336223570792995,17.954431504308687
4654,Office,36,1999,Mixed,2262.8964091795942,486.2261300342918,Amsterdam,Netherlands,52.355022654215624,4.808682506570964
12130,Residential,13,2001,Concrete,6265.909706063261,516.5630425443744,Dublin,Ireland,53.37937438503805,-6.1706788173154274
11617,Healthcare,8,2003,Mixed,5498.340372911959,473.3012286228767,Madrid,Spain,40.36041210036696,-3.653608386482873
8227,Healthcare,39,1989,Steel,6759.975462012906,821.6817141136387,Rome,Italy,41.82994079359139,12.48478896258266
27160,Office,35,2023,Concrete,16882.968223324657,621.6114957041478,Madrid,Spain,40.31914291110403,-3.7952722827907324
28042,Education,28,1986,Mixed,14119.71226348431,503.52015774496505,Dublin,Ireland,53.33909059959055,-6.1811047329627655
22400,Residential,2,2014,Timber,4422.107044405312,197.41549305380858,Berlin,Germany,52.488543393355904,13.433737274373168
33496,Office,11,2018,Mixed,12557.648304683986,374.89993744578413,Berlin,Germany,52.52064388204268,13.401168139826627
26766,Healthcare,36,2019,Steel,25295.53594906072,945.0622412411536,Berlin,Germany,52.480237582807796,13.410086823761441
3472,Residential,39,1983,Steel,2596.5001635109934,747.8399088453323,Paris,France,48.93392052322679,2.2209794817128303
15484,Healthcare,8,2017,Mixed,7465.178933065784,482.1221217428174,Amsterdam,Netherlands,52.3230829189154,4.891371728976074
33581,Residential,2,2002,Mixed,12480.459972071903,371.6524216691553,London,United Kingdom,51.69864414721128,-0.18755335416165053
33007,Healthcare,22,2023,Concrete,24210.794195705923,733.5048382375231,Dublin,Ireland,53.31704779381739,-6.218104429398959
34400,Residential,16,1991,Steel,20808.81771284635,604.9074916525102,Oslo,Norway,59.95908999215794,10.878153345843836
